Item,Supplier Category,Supplier Examples,SKU / Search Term,Notes,Status
Apricot wood turning blank (1" dia),Specialty turning blank suppliers,"Craft Supplies USA; Woodturners Catalog; Woodcraft (special order)","apricot turning blank 1"" OR ""apricot wood blank""",Apricot is not standard stock. May require special order or substitution. Check availability at time of order.,TBD — verify current availability
Walnut turning blank 1" dia (alternate),General woodworking,"Woodcraft; Rockler; local hardwood dealers","1"" dia walnut turning blank 16""","Good acoustic substitute. Widely available, lower cost.",Available
Mulberry turning blank (Balaban variant),"Specialty lumber, Asian hardwood suppliers","Hearne Hardwoods; Bell Forest Products",mulberry turning blank,Less common than walnut; check specialty hardwood dealers.,TBD — verify
Plum turning blank (Mey variant),Specialty fruit-wood suppliers,"Cook Woods; specialty orchard-wood sellers",plum wood turning blank,Very uncommon commercially. May need to source from orchard contacts.,TBD — verify
Arundo donax double reed (A3 duduk),Armenian/Middle Eastern music suppliers,"Duduk.com; Armenian music shops; eBay (search 'duduk reed')","duduk reed A" OR "balaban reed",Buy extra (4–6 for initial testing). Specify key if ordering pre-voiced. Reed quality is highly variable.,Critical — buy before build
Arundo donax raw cane (DIY reed blank),Specialty reed suppliers,"ReedMan; Lesher Oboe Reeds; oboe-supply shops","Arundo donax cane blanks / oboe cane",DIY reed making requires skill. Not recommended for first build. Buy pre-made reeds for initial testing.,Optional
Linseed oil (bore finish),Hardware / grocery,Ace Hardware; Lowe's; Amazon,boiled linseed oil 1 qt,Boiled linseed oil dries faster. Raw works but takes longer. Use thin coats.,Available
Pure tung oil (exterior),Hardware / woodworking,"Woodcraft; Real Milk Paint Co.",pure tung oil — not ""tung oil finish""",Must be 100% pure tung oil — not a blended 'tung oil finish' which contains varnish.,Available
PTFE plumber's tape,Hardware,Ace; Home Depot; Lowe's,PTFE thread seal tape,Use to seal reed shank into socket for airtight fit. Adjustable for tuning.,Available
Boron carbide abrasive cord OR drill bit set,"Hardware, McMaster-Carr","McMaster-Carr; Harbor Freight","Step drill set 1/8"" to 1/2"" OR brad-point bit set",For tone holes: brad-point preferred for clean entry. Pilot hole + step-drill method.,Available
